accession	gene	function	normal	MMS
YML119W	YML119W	Putative protein of unknown function	NA	NA
YML120C	NDI1	NADH:ubiquinone oxidoreductase, transfers electrons from NADH to ubiquinone in the respiratory chain but does not pump protons, in contrast to the higher eukaryotic multisubunit respiratory complex I	NA	NA
YML124C	TUB3	Alpha-tubulin	NA	NA
YML125C	PGA3	Putative cytochrome b5 reductase, localized to the plasma membrane	NA	NA
YML126C	ERG13	3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA	Down	Down
YML127W	RSC9	Component of the RSC chromatin remodeling complex	NA	NA
YML128C	MSC1	Protein of unknown function	Up	NA
YML130C	ERO1	Thiol oxidase required for oxidative protein folding in the endoplasmic reticulum	NA	NA
YML131W	YML131W	Putative protein of unknown function with similarity to medium chain dehydrogenase/reductases	Down	NA
YMR005W	TAF4	TFIID subunit (48 kDa), involved in RNA polymerase II transcription initiation	NA	NA
YMR012W	CLU1	eIF3 component of unknown function	NA	NA
YMR023C	MSS1	Mitochondrial protein, forms a heterodimer complex with Mto1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs	NA	NA
YMR024W	MRPL3	Mitochondrial ribosomal protein of the large subunit	NA	NA
YMR027W	YMR027W	Putative protein of unknown function	NA	NA
YMR031C	YMR031C	Protein of unknown function with similarity to Ykl050cp and Uso1p	NA	NA
YMR032W	HOF1	Bud neck-localized, SH3 domain-containing protein required for cytokinesis	NA	NA
YMR033W	ARP9	Component of both the SWI/SNF and RSC chromatin remodeling complexes	NA	NA
YMR037C	MSN2	Transcriptional activator related to Msn4p	NA	NA
YMR038C	CCS1	Copper chaperone for superoxide dismutase Sod1p, involved in oxidative stress protection	NA	NA
YMR041C	ARA2	NAD-dependent arabinose dehydrogenase, involved in biosynthesis of dehydro-D-arabinono-1,4-lactone	NA	NA
YMR047C	NUP116	Subunit of the Nup82 subcomplex of the nuclear pore complex	NA	NA
YMR049C	ERB1	Constituent of 66S pre-ribosomal particles, forms a complex with Nop7p and Ytm1p that is required for maturation of the large ribosomal subunit	NA	NA
YMR053C	STB2	Protein that interacts with Sin3p in a two-hybrid assay and is part of a large protein complex with Sin3p and Stb1p	NA	NA
YMR061W	RNA14	Cleavage and polyadenylation factor I (CF I) component involved in cleavage and polyadenylation of mRNA 3' ends	NA	NA
YMR062C	ARG7	Mitochondrial ornithine acetyltransferase, catalyzes the fifth step in arginine biosynthesis	Down	Down
YMR066W	SOV1	Mitochondrial protein of unknown function	NA	NA
YMR067C	UBX4	UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p	NA	NA
YMR072W	ABF2	Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family	NA	NA
YMR074C	YMR074C	Protein with homology to human PDCD5, which is involved in programmed cell death	NA	NA
YMR075W	RCO1	Essential subunit of the histone deacetylase Rpd3S complex	NA	NA
YMR076C	PDS5	Protein required for establishment and maintenance of sister chromatid condensation and cohesion, colocalizes with cohesin on chromosomes, may function as a protein-protein interaction scaffold	NA	Down
YMR078C	CTF18	Subunit of a complex with Ctf8p that shares some subunits with Replication Factor C and is required for sister chromatid cohesion	NA	NA
YMR079W	SEC14	Phosphatidylinositol/phosphatidylcholine transfer protein	Down	Down
YMR080C	NAM7	ATP-dependent RNA helicase of the SFI superfamily involved in nonsense mediated mRNA decay	NA	NA
YMR083W	ADH3	Mitochondrial alcohol dehydrogenase isozyme III	NA	NA
YMR086W	YMR086W	Protein of unknown function that may interact with ribosomes, based on co-purification experiments	NA	NA
YMR089C	YTA12	Component, with Afg3p, of the mitochondrial inner membrane m-AAA protease that mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes	NA	NA
YMR091C	NPL6	Component of the RSC chromatin remodeling complex	NA	NA
YMR092C	AIP1	Actin cortical patch component, interacts with the actin depolymerizing factor cofilin	NA	NA
YMR093W	UTP15	Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA	NA	NA
YMR097C	MTG1	Putative GTPase peripheral to the mitochondrial inner membrane, essential for respiratory competence, likely functions in assembly of the large ribosomal subunit, has homologs in plants and animals	NA	NA
YMR098C	ATP25	Mitochondrial protein required for the stability of Oli1p (Atp9p) mRNA and for the Oli1p ring formation	NA	NA
YMR099C	YMR099C	Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase), likely involved in carbohydrate metabolism	Down	NA
YMR102C	YMR102C	Protein of unknown function	NA	NA
YMR105C	PGM2	Phosphoglucomutase, catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism	Up	Up
YMR108W	ILV2	Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria	NA	NA
YMR109W	MYO5	One of two type I myosins	NA	NA
YMR110C	HFD1	Putative fatty aldehyde dehydrogenase, located in the mitochondrial outer membrane and also in lipid particles	NA	NA
YMR116C	ASC1	G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p	Down	Down
YMR120C	ADE17	Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p	NA	NA
YMR124W	YMR124W	Protein of unknown function	NA	NA
YMR128W	ECM16	Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis	NA	NA
YMR129W	POM152	Nuclear pore membrane glycoprotein	NA	NA
YMR131C	RRB1	Essential nuclear protein involved in early steps of ribosome biogenesis	NA	NA
YMR135C	GID8	Protein of unknown function, involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase	NA	NA
YMR142C	RPL13B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Ap	NA	Down
YMR145C	NDE1	Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH	Up	NA
YMR146C	TIF34	eIF3i subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation	NA	NA
YMR149W	SWP1	Delta subunit of the oligosaccharyl transferase glycoprotein complex, which is required for N-linked glycosylation of proteins in the endoplasmic reticulum	NA	NA
YMR162C	DNF3	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles	NA	NA
YMR163C	INP2	Peroxisome-specific receptor important for peroxisome inheritance	NA	NA
YMR165C	PAH1	Mg<sup>2+</sup>-dependent phosphatidate (PA) phosphatase, catalyzes the dephosphorylation of PA to yield diacylglycerol and P<sub>i</sub>, responsible for de novo lipid synthesis	Down	NA
YMR167W	MLH1	Protein required for mismatch repair in mitosis and meiosis as well as crossing over during meiosis	NA	NA
YMR169C	ALD3	Cytoplasmic aldehyde dehydrogenase, involved in beta-alanine synthesis	Up	Up
YMR170C	ALD2	Cytoplasmic aldehyde dehydrogenase, involved in ethanol oxidation and beta-alanine biosynthesis	NA	NA
YMR172W	HOT1	Transcription factor required for the transient induction of glycerol biosynthetic genes GPD1 and GPP2 in response to high osmolarity	NA	NA
YMR173W	DDR48	DNA damage-responsive protein, expression is increased in response to heat-shock stress or treatments that produce DNA lesions	NA	NA
YMR176W	ECM5	Non-essential protein of unknown function, contains ATP/GTP-binding site motif A	NA	NA
YMR178W	YMR178W	Putative protein of unknown function	NA	NA
YMR183C	SSO2	Plasma membrane t-SNARE involved in fusion of secretory vesicles at the plasma membrane	NA	NA
YMR185W	YMR185W	Putative protein of unknown function	NA	NA
YMR186W	HSC82	Cytoplasmic chaperone of the Hsp90 family, redundant in function and nearly identical with Hsp82p, and together they are essential	Down	Down
YMR189W	GCV2	P subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF	NA	Up
YMR190C	SGS1	Nucleolar DNA helicase of the RecQ family involved in genome integrity maintenance	NA	NA
YMR194W	RPL36A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl36Bp and has similarity to rat L36 ribosomal protein	Down	NA
YMR196W	YMR196W	Putative protein of unknown function	NA	NA
YMR197C	VTI1	Protein involved in cis-Golgi membrane traffic	NA	NA
YMR198W	CIK1	Kinesin-associated protein required for both karyogamy and mitotic spindle organization, interacts stably and specifically with Kar3p and may function to target this kinesin to a specific cellular role	NA	NA
YMR203W	TOM40	Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins	NA	NA
YMR205C	PFK2	Beta subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes	Down	NA
YMR207C	HFA1	Mitochondrial acetyl-coenzyme A carboxylase, catalyzes the production of malonyl-CoA in mitochondrial fatty acid biosynthesis	NA	NA
YMR208W	ERG12	Mevalonate kinase, acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate	NA	NA
YMR212C	EFR3	Protein required for Stt4-containing phosphoinositide kinase patch assembly at the plasma membrane	NA	NA
YMR213W	CEF1	Essential splicing factor	NA	NA
YMR215W	GAS3	Putative 1,3-beta-glucanosyltransferase, has similarity to Gas1p	NA	NA
YMR216C	SKY1	SR protein kinase (SRPK) involved in regulating proteins involved in mRNA metabolism and cation homeostasis	NA	NA
YMR217W	GUA1	GMP synthase, an enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP)	NA	NA
YMR218C	TRS130	One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion	NA	NA
YMR219W	ESC1	Protein localized to the nuclear periphery, involved in telomeric silencing	Down	NA
YMR220W	ERG8	Phosphomevalonate kinase, an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate	NA	NA
YMR222C	FSH2	Putative serine hydrolase that localizes to the cytoplasm	NA	NA
YMR223W	UBP8	Ubiquitin-specific protease that is a component of the SAGA (Spt-Ada-Gcn5-Acetyltransferase) acetylation complex	NA	NA
YMR226C	YMR226C	NADP(+)-dependent dehydrogenase	NA	NA
YMR229C	RRP5	RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs	NA	NA
YMR230W	RPS10B	Protein component of the small (40S) ribosomal subunit	Down	Down
YMR233W	TRI1	Non-essential sumoylated protein of unknown function with similarity to components of human SWI/SNF complex including SMRD3	NA	NA
YMR235C	RNA1	GTPase activating protein (GAP) for Gsp1p, involved in nuclear transport	NA	NA
YMR236W	TAF9	Subunit (17 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H3	NA	NA
YMR239C	RNT1	RNAase III	NA	NA
YMR241W	YHM2	Carrier protein that exports citrate from and imports oxoglutarate into the mitochondrion, causing net export of NADPH reducing equivalents	NA	NA
YMR242C	RPL20A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl20Bp and has similarity to rat L18a ribosomal protein	Down	NA
YMR246W	FAA4	Long chain fatty acyl-CoA synthetase, activates imported fatty acids with a preference for C12:0-C16:0 chain lengths	NA	NA
YMR247C	RKR1	RING domain E3 ubiquitin ligase	NA	NA
YMR250W	GAD1	Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism	Up	Up
YMR257C	PET111	Mitochondrial translational activator specific for the COX2 mRNA	NA	NA
YMR260C	TIF11	Translation initiation factor eIF1A, essential protein that forms a complex with Sui1p (eIF1) and the 40S ribosomal subunit and scans for the start codon	NA	NA
YMR261C	TPS3	Regulatory subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose	NA	NA
YMR265C	YMR265C	Putative protein of unknown function	NA	NA
YMR266W	RSN1	Membrane protein of unknown function	NA	NA
YMR272C	SCS7	Sphingolipid alpha-hydroxylase, functions in the alpha-hydroxylation of sphingolipid-associated very long chain fatty acids, has both cytochrome b5-like and hydroxylase/desaturase domains, not essential for growth	NA	NA
YMR273C	ZDS1	Protein with a role in regulating Swe1p-dependent polarized growth	NA	NA
YMR275C	BUL1	Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex, functional homolog of Bul2p, disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases	NA	NA
YMR276W	DSK2	Nuclear-enriched ubiquitin-like polyubiquitin-binding protein, required for spindle pole body (SPB) duplication and for transit through the G2/M phase of the cell cycle, involved in proteolysis, interacts with the proteasome	NA	NA
YMR278W	PGM3	Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate	NA	NA
YMR282C	AEP2	Mitochondrial protein, likely involved in translation of the mitochondrial OLI1 mRNA	NA	NA
YMR284W	YKU70	Subunit of the telomeric Ku complex (Yku70p-Yku80p), involved in telomere length maintenance, structure and telomere position effect	NA	NA
YMR286W	MRPL33	Mitochondrial ribosomal protein of the large subunit	NA	NA
YMR287C	DSS1	3'-5' exoribonuclease, component of the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p	NA	NA
YMR288W	HSH155	U2-snRNP associated splicing factor that forms extensive associations with the branch site-3' splice site-3' exon region upon prespliceosome formation	NA	NA
YMR290C	HAS1	ATP-dependent RNA helicase	NA	NA
YMR291W	YMR291W	Putative kinase of unknown function	NA	NA
YMR296C	LCB1	Component of serine palmitoyltransferase, responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine	NA	NA
YMR297W	PRC1	Vacuolar carboxypeptidase Y (proteinase C	Down	Up
YMR300C	ADE4	Phosphoribosylpyrophosphate amidotransferase (PRPPAT	NA	NA
YMR303C	ADH2	Glucose-repressible alcohol dehydrogenase II, catalyzes the conversion of ethanol to acetaldehyde	NA	Up
YMR305C	SCW10	Cell wall protein with similarity to glucanases	NA	NA
YMR306W	FKS3	Protein involved in spore wall assembly, has similarity to 1,3-beta-D-glucan synthase catalytic subunits Fks1p and Gsc2p	NA	NA
YMR307W	GAS1	Beta-1,3-glucanosyltransferase, required for cell wall assembly and also has a role in transcriptional silencing	NA	Up
YMR308C	PSE1	Karyopherin/importin that interacts with the nuclear pore complex	NA	NA
YMR309C	NIP1	eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3), involved in the assembly of preinitiation complex and start codon selection	NA	NA
YMR314W	PRE5	Alpha 6 subunit of the 20S proteasome	Down	NA
YMR315W	YMR315W	Protein with NADP(H) oxidoreductase activity	Down	NA
YMR318C	ADH6	NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity	NA	NA
YMR319C	FET4	Low-affinity Fe(II) transporter of the plasma membrane	NA	NA
YMR321C	YMR321C	Putative protein of unknown function	NA	NA
YMR322C	SNO4	Possible chaperone and cysteine protease, similar to bacterial Hsp31 and yeast Hsp31p, Hsp32p, and Hsp33p	NA	NA
YMR323W	ERR3	Protein of unknown function, has similarity to enolases	Down	NA
YNL001W	DOM34	Protein that, with binding partner Hbs1p, facilitates ribosomal subunit dissociation when translation is stalled	NA	NA
YNL004W	HRB1	Poly(A+) RNA-binding protein, involved in the export of mRNAs from the nucleus to the cytoplasm	NA	NA
YNL005C	MRP7	Mitochondrial ribosomal protein of the large subunit	NA	NA
YNL007C	SIS1	Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p	Down	NA
YNL009W	IDP3	Peroxisomal NADP-dependent isocitrate dehydrogenase, catalyzes oxidation of isocitrate to alpha-ketoglutarate with the formation of NADP(H+), required for growth on unsaturated fatty acids	NA	NA
YNL010W	YNL010W	Putative protein of unknown function with similarity to phosphoserine phosphatases	Down	NA
YNL011C	YNL011C	Putative protein of unknown function	NA	NA
YNL012W	SPO1	Meiosis-specific prospore protein	NA	NA
YNL014W	HEF3	Translational elongation factor EF-3	NA	Up
YNL015W	PBI2	Cytosolic inhibitor of vacuolar proteinase B (PRB1), required for efficient vacuole inheritance	Up	NA
YNL016W	PUB1	Poly (A)+ RNA-binding protein, abundant mRNP-component protein that binds mRNA and is required for stability of many mRNAs	Down	Down
YNL021W	HDA1	Putative catalytic subunit of a class II histone deacetylase complex that also contains Hda2p and Hda3p	NA	NA
YNL036W	NCE103	Carbonic anhydrase	NA	NA
YNL037C	IDH1	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase, which catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle	Up	NA
YNL040W	YNL040W	Putative protein of unknown function with strong similarity to alanyl-tRNA synthases from Eubacteria	NA	NA
YNL049C	SFB2	Component of the Sec23p-Sfb2p heterodimer of the COPII vesicle coat, required for cargo selection during vesicle formation in ER to Golgi transport	NA	NA
YNL052W	COX5A	Subunit Va of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain	NA	NA
YNL055C	POR1	Mitochondrial porin (voltage-dependent anion channel), outer membrane protein required for the maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability	Up	Up
YNL059C	ARP5	Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes	NA	NA
YNL061W	NOP2	Probable RNA m(5)C methyltransferase, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis	NA	NA
YNL064C	YDJ1	Protein chaperone involved in regulation of the HSP90 and HSP70 functions	Down	NA
YNL067W	RPL9B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl9Ap and has similarity to E. coli L6 and rat L9 ribosomal proteins	Down	NA
YNL068C	FKH2	Forkhead family transcription factor with a major role in the expression of G2/M phase genes	NA	NA
YNL069C	RPL16B	N-terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA	Down	Down
YNL071W	LAT1	Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex, which catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA	NA	NA
YNL079C	TPM1	Major isoform of tropomyosin	NA	Down
YNL082W	PMS1	ATP-binding protein required for mismatch repair in mitosis and meiosis	NA	NA
YNL085W	MKT1	Protein that forms a complex with Pbp1p that may mediate posttranscriptional regulation of HO	NA	NA
YNL087W	TCB2	Bud-specific protein with a potential role in membrane trafficking	NA	NA
YNL088W	TOP2	Topoisomerase II, relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone of both positively and negatively supercoiled DNA	NA	NA
YNL093W	YPT53	Rab family GTPase, similar to Ypt51p and Ypt52p and to mammalian rab5	NA	NA
YNL096C	RPS7B	Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Ap	NA	Down
YNL098C	RAS2	GTP-binding protein that regulates the nitrogen starvation response, sporulation, and filamentous growth	NA	NA
YNL102W	POL1	Catalytic subunit of the DNA polymerase I alpha-primase complex, required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis	NA	NA
YNL104C	LEU4	Alpha-isopropylmalate synthase (2-isopropylmalate synthase)	NA	NA
YNL106C	INP52	Polyphosphatidylinositol phosphatase, dephosphorylates a number of phosphatidylinositols (PIs) to PI	NA	NA
YNL108C	YNL108C	Putative protein of unknown function with similarity to Tfc7p and prokaryotic phosphotransfer enzymes	NA	NA
YNL110C	NOP15	Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis	NA	NA
YNL112W	DBP2	Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing	NA	NA
YNL113W	RPC19	RNA polymerase subunit AC19, common to RNA polymerases I and III	NA	NA
YNL118C	DCP2	Catalytic subunit of the Dcp1p-Dcp2p decapping enzyme complex, which removes the 5' cap structure from mRNAs prior to their degradation	NA	NA
YNL119W	NCS2	Protein required for thiolation of the uridine at the wobble position of Lys(UUU) and Glu(UUC) tRNAs	NA	NA
YNL121C	TOM70	Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins	NA	NA
YNL122C	YNL122C	Putative protein of unknown function	NA	NA
YNL123W	NMA111	Serine protease and general molecular chaperone	NA	NA
YNL124W	NAF1	RNA-binding protein required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing, forms a complex with Shq1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p	NA	NA
YNL125C	ESBP6	Protein with similarity to monocarboxylate permeases, appears not to be involved in transport of monocarboxylates such as lactate, pyruvate or acetate across the plasma membrane	NA	NA
YNL126W	SPC98	Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex	NA	NA
YNL127W	FAR11	Protein involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway	NA	NA
YNL129W	NRK1	Nicotinamide riboside kinase, catalyzes the phosphorylation of nicotinamide riboside and nicotinic acid riboside in salvage pathways for NAD+ biosynthesis	NA	NA
YNL131W	TOM22	Component of the TOM (translocase of outer mitochondrial membrane) complex responsible for initial import of mitochondrially directed proteins	NA	NA
YNL132W	KRE33	Essential protein, required for biogenesis of the small ribosomal subunit	NA	NA
YNL134C	YNL134C	Putative protein of unknown function with similarity to dehydrogenases from other model organisms	Up	NA
YNL135C	FPR1	Peptidyl-prolyl cis-trans isomerase (PPIase), binds to the drugs FK506 and rapamycin	NA	NA
YNL138W	SRV2	CAP (cyclase-associated protein) subunit of adenylyl cyclase complex	NA	NA
YNL139C	THO2	Subunit of the THO complex, which is required for efficient transcription elongation and involved in transcriptional elongation-associated recombination	NA	NA
YNL142W	MEP2	Ammonium permease involved in regulation of pseudohyphal growth	NA	NA
YNL153C	GIM3	Subunit of the heterohexameric cochaperone prefoldin complex which binds specifically to cytosolic chaperonin and transfers target proteins to it	NA	NA
YNL154C	YCK2	Palmitoylated plasma membrane-bound casein kinase I isoform	NA	NA
YNL160W	YGP1	Cell wall-related secretory glycoprotein	Up	Up
YNL168C	FMP41	Putative protein of unknown function	NA	NA
YNL169C	PSD1	Phosphatidylserine decarboxylase of the mitochondrial inner membrane, converts phosphatidylserine to phosphatidylethanolamine	NA	NA
YNL173C	MDG1	Plasma membrane protein involved in G-protein mediated pheromone signaling pathway	NA	NA
YNL175C	NOP13	Nucleolar protein found in preribosomal complexes	NA	Down
YNL178W	RPS3	Protein component of the small (40S) ribosomal subunit, has apurinic/apyrimidinic (AP) endonuclease activity	Down	NA
YNL182C	IPI3	Essential component of the Rix1 complex (Rix1p, Ipi1p, Ipi3p) that is required for processing of ITS2 sequences from 35S pre-rRNA	NA	NA
YNL183C	NPR1	Protein kinase that stabilizes several plasma membrane amino acid transporters by antagonizing their ubiquitin-mediated degradation	NA	NA
YNL185C	MRPL19	Mitochondrial ribosomal protein of the large subunit	NA	Up
YNL186W	UBP10	Ubiquitin-specific protease that deubiquitinates ubiquitin-protein moieties	NA	NA
YNL187W	SWT21	Protein involved in mRNA splicing	NA	NA
YNL189W	SRP1	Karyopherin alpha homolog, forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import	Down	NA
YNL192W	CHS1	Chitin synthase I, requires activation from zymogenic form in order to catalyze the transfer of N-acetylglucosamine (GlcNAc) to chitin	NA	NA
YNL202W	SPS19	Peroxisomal 2,4-dienoyl-CoA reductase, auxiliary enzyme of fatty acid beta-oxidation	NA	NA
YNL206C	RTT106	Histone chaperone, involved in regulation of chromatin structure in both transcribed and silenced chromosomal regions	NA	NA
YNL208W	YNL208W	Protein of unknown function	NA	NA
YNL212W	VID27	Cytoplasmic protein of unknown function	NA	NA
YNL217W	YNL217W	Putative protein of unknown function	NA	NA
YNL218W	MGS1	Protein with DNA-dependent ATPase and ssDNA annealing activities involved in maintenance of genome	NA	NA
YNL220W	ADE12	Adenylosuccinate synthase, catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis	NA	NA
YNL221C	POP1	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	NA	NA
YNL224C	SQS1	Stimulates the ATPase and helicase activities of Prp43p	NA	NA
YNL227C	JJJ1	Co-chaperone that stimulates the ATPase activity of Ssa1p, required for a late step of ribosome biogenesis	NA	NA
YNL231C	PDR16	Phosphatidylinositol transfer protein (PITP) controlled by the multiple drug resistance regulator Pdr1p, localizes to lipid particles and microsomes, controls levels of various lipids, may regulate lipid synthesis, homologous to Pdr17p	NA	NA
YNL233W	BNI4	Targeting subunit for Glc7p protein phosphatase, localized to the bud neck, required for localization of chitin synthase III to the bud neck via interaction with the chitin synthase III regulatory subunit Skt5p	NA	NA
YNL234W	YNL234W	Protein of unknown function with similarity to globins	NA	NA
YNL236W	SIN4	Subunit of the RNA polymerase II mediator complex	NA	NA
YNL238W	KEX2	Subtilisin-like protease (proprotein convertase), a calcium-dependent serine protease involved in the activation of proproteins of the secretory pathway	NA	NA
YNL239W	LAP3	Cysteine aminopeptidase with homocysteine-thiolactonase activity	Down	NA
YNL241C	ZWF1	Glucose-6-phosphate dehydrogenase (G6PD), catalyzes the first step of the pentose phosphate pathway	NA	NA
YNL242W	ATG2	Peripheral membrane protein required for vesicle formation during autophagy, pexophagy, and the cytoplasm-to-vaucole targeting (Cvt) pathway	NA	NA
YNL243W	SLA2	Transmembrane actin-binding protein involved in membrane cytoskeleton assembly and cell polarization	NA	NA
YNL244C	SUI1	Translation initiation factor eIF1	Down	Down
YNL247W	YNL247W	Cysteinyl-tRNA synthetase	Down	NA
YNL248C	RPA49	RNA polymerase I subunit A49	NA	NA
YNL251C	NRD1	RNA-binding protein that interacts with the C-terminal domain of the RNA polymerase II large subunit (Rpo21p), preferentially at phosphorylated Ser5	NA	NA
YNL256W	FOL1	Multifunctional enzyme of the folic acid biosynthesis pathway, has dihydropteroate synthetase, dihydro-6-hydroxymethylpterin pyrophosphokinase, and dihydroneopterin aldolase activities	NA	NA
YNL257C	SIP3	Protein that activates transcription through interaction with DNA-bound Snf1p, C-terminal region has a putative leucine zipper motif	NA	NA
YNL258C	DSL1	Peripheral membrane protein needed for Golgi-to-ER retrograde traffic	NA	NA
YNL259C	ATX1	Cytosolic copper metallochaperone that transports copper to the secretory vesicle copper transporter Ccc2p for eventual insertion into Fet3p, which is a multicopper oxidase required for high-affinity iron uptake	NA	NA
YNL262W	POL2	Catalytic subunit of DNA polymerase (II) epsilon, a chromosomal DNA replication polymerase that exhibits processivity and proofreading exonuclease activity	Up	NA
YNL264C	PDR17	Phosphatidylinositol transfer protein (PITP), downregulates Plb1p-mediated turnover of phosphatidylcholine, found in the cytosol and microsomes, homologous to Pdr16p, deletion affects phospholipid composition	NA	NA
YNL267W	PIK1	Phosphatidylinositol 4-kinase	NA	NA
YNL271C	BNI1	Formin, nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables, functionally redundant with BNR1	NA	NA
YNL272C	SEC2	Guanyl-nucleotide exchange factor for the small G-protein Sec4p	NA	NA
YNL273W	TOF1	Subunit of a replication-pausing checkpoint complex (Tof1p-Mrc1p-Csm3p) that acts at the stalled replication fork to promote sister chromatid cohesion after DNA damage, facilitating gap repair of damaged DNA	NA	NA
YNL274C	GOR1	Glyoxylate reductase	NA	Up
YNL278W	CAF120	Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation	NA	NA
YNL281W	HCH1	Heat shock protein regulator that binds to Hsp90p and may stimulate ATPase activity	NA	NA
YNL287W	SEC21	Gamma subunit of coatomer, a heptameric protein complex that together with Arf1p forms the COPI coat	NA	NA
YNL292W	PUS4	Pseudouridine synthase, catalyzes only the formation of pseudouridine-55 (Psi55), a highly conserved tRNA modification, in mitochondrial and cytoplasmic tRNAs	NA	NA
YNL295W	YNL295W	Putative protein of unknown function	NA	NA
